latitude,longitude,valid_time,u10,v10
-66.5,14.0,2026-01-01 00:00:00,8.0548,-2.8041
-66.5,14.5,2026-01-01 00:00:00,7.816,-2.8041
-66.5,15.0,2026-01-01 00:00:00,7.8672,-2.8041
-66.5,15.5,2026-01-01 00:00:00,8.1957,-2.8041
-66.5,16.0,2026-01-01 00:00:00,8.7212,-2.8041
-66.5,16.5,2026-01-01 00:00:00,9.3148,-2.8041
-66.5,17.0,2026-01-01 00:00:00,9.8315,-2.8041
-66.5,17.5,2026-01-01 00:00:00,10.1445,-2.8041
-66.5,18.0,2026-01-01 00:00:00,10.1773,-2.8041
-66.0,14.0,2026-01-01 00:00:00,7.816,-2.4011
-66.0,14.5,2026-01-01 00:00:00,7.8672,-2.4011
-66.0,15.0,2026-01-01 00:00:00,8.1957,-2.4011
-66.0,15.5,2026-01-01 00:00:00,8.7212,-2.4011
-66.0,16.0,2026-01-01 00:00:00,9.3148,-2.4011
-66.0,16.5,2026-01-01 00:00:00,9.8315,-2.4011
-66.0,17.0,2026-01-01 00:00:00,10.1445,-2.4011
-66.0,17.5,2026-01-01 00:00:00,10.1773,-2.4011
-66.0,18.0,2026-01-01 00:00:00,9.9219,-2.4011
-65.5,14.0,2026-01-01 00:00:00,7.8672,-2.7326
-65.5,14.5,2026-01-01 00:00:00,8.1957,-2.7326
-65.5,15.0,2026-01-01 00:00:00,8.7212,-2.7326
-65.5,15.5,2026-01-01 00:00:00,9.3148,-2.7326
-65.5,16.0,2026-01-01 00:00:00,9.8315,-2.7326
-65.5,16.5,2026-01-01 00:00:00,10.1445,-2.7326
-65.5,17.0,2026-01-01 00:00:00,10.1773,-2.7326
-65.5,17.5,2026-01-01 00:00:00,9.9219,-2.7326
-65.5,18.0,2026-01-01 00:00:00,9.4408,-2.7326
-65.0,14.0,2026-01-01 00:00:00,8.1957,-3.4938
-65.0,14.5,2026-01-01 00:00:00,8.7212,-3.4938
-65.0,15.0,2026-01-01 00:00:00,9.3148,-3.4938
-65.0,15.5,2026-01-01 00:00:00,9.8315,-3.4938
-65.0,16.0,2026-01-01 00:00:00,10.1445,-3.4938
-65.0,16.5,2026-01-01 00:00:00,10.1773,-3.4938
-65.0,17.0,2026-01-01 00:00:00,9.9219,-3.4938
-65.0,17.5,2026-01-01 00:00:00,9.4408,-3.4938
-65.0,18.0,2026-01-01 00:00:00,8.8517,-3.4938
-64.5,14.0,2026-01-01 00:00:00,8.7212,-3.9849
-64.5,14.5,2026-01-01 00:00:00,9.3148,-3.9849
-64.5,15.0,2026-01-01 00:00:00,9.8315,-3.9849
-64.5,15.5,2026-01-01 00:00:00,10.1445,-3.9849
-64.5,16.0,2026-01-01 00:00:00,10.1773,-3.9849
-64.5,16.5,2026-01-01 00:00:00,9.9219,-3.9849
-64.5,17.0,2026-01-01 00:00:00,9.4408,-3.9849
-64.5,17.5,2026-01-01 00:00:00,8.8517,-3.9849
-64.5,18.0,2026-01-01 00:00:00,8.299,-3.9849
-64.0,14.0,2026-01-01 00:00:00,9.3148,-3.7543
-64.0,14.5,2026-01-01 00:00:00,9.8315,-3.7543
-64.0,15.0,2026-01-01 00:00:00,10.1445,-3.7543
-64.0,15.5,2026-01-01 00:00:00,10.1773,-3.7543
-64.0,16.0,2026-01-01 00:00:00,9.9219,-3.7543
-64.0,16.5,2026-01-01 00:00:00,9.4408,-3.7543
-64.0,17.0,2026-01-01 00:00:00,8.8517,-3.7543
-64.0,17.5,2026-01-01 00:00:00,8.299,-3.7543
-64.0,18.0,2026-01-01 00:00:00,7.9179,-3.7543
-63.5,14.0,2026-01-01 00:00:00,9.8315,-3.0141
-63.5,14.5,2026-01-01 00:00:00,10.1445,-3.0141
-63.5,15.0,2026-01-01 00:00:00,10.1773,-3.0141
-63.5,15.5,2026-01-01 00:00:00,9.9219,-3.0141
-63.5,16.0,2026-01-01 00:00:00,9.4408,-3.0141
-63.5,16.5,2026-01-01 00:00:00,8.8517,-3.0141
-63.5,17.0,2026-01-01 00:00:00,8.299,-3.0141
-63.5,17.5,2026-01-01 00:00:00,7.9179,-3.0141
-63.5,18.0,2026-01-01 00:00:00,7.8017,-3.0141
-66.5,14.0,2026-01-01 01:00:00,8.0392,-2.6732
-66.5,14.5,2026-01-01 01:00:00,7.8005,-2.6732
-66.5,15.0,2026-01-01 01:00:00,7.8517,-2.6732
-66.5,15.5,2026-01-01 01:00:00,8.1802,-2.6732
-66.5,16.0,2026-01-01 01:00:00,8.7056,-2.6732
-66.5,16.5,2026-01-01 01:00:00,9.2993,-2.6732
