date,date_gap,disp,flags,latitude,longitude,mask,size,vel_angle,iceberg_name,timestamp
1991314,0,0.0,3,-76.2,-41.5,0,0.0,0.0,a23a,1970-01-01T00:00:00Z
2008146,0,0.0,3,-77.07,-50.35,0,0.0,0.0,a56,1970-01-01T00:00:00Z
2008146,0,0.0,3,-77.62,-48.75,0,0.0,0.0,a57,1970-01-01T00:00:00Z
2016004,0,0.0,5,-71.466,-59.067,0,14857.03,-0.0093,a57a,1970-01-01T00:00:00Z
2015365,0,0.0,5,-69.833,-60.367,0,0.0,0.0,a57b,1970-01-01T00:00:00Z
2010024,0,0.0,3,-70.45,-7.08,0,0.0,0.0,a61,1970-01-01T00:00:00Z
2011023,0,0.0,3,-70.04,-1.74,0,0.0,0.0,a62,1970-01-01T00:00:00Z
2013095,0,0.0,12,-57.112,-31.575,2,4137.05,0.0,a62a,1970-01-01T00:00:00Z
2012329,0,0.0,13,-77.85,-42.925,1,408.18,-0.0042,a63,1970-01-01T00:00:00Z
2014101,0,0.0,3,-69.71,-61.06,0,1722.93,0.0,a64,1970-01-01T00:00:00Z
2015365,0,0.0,5,-54.527,-34.861,1,2814.54,-0.2706,a65,1970-01-01T00:00:00Z
2016001,0,0.0,6,-63.856,-55.222,2,0.0,0.0,a66,1970-01-01T00:00:00Z
2016001,0,0.0,6,-75.33,-27.084,1,0.0,0.0,a67,1970-01-01T00:00:00Z
2017177,0,0.0,4,-67.816,-60.909,0,0.0,0.0,a68,1970-01-01T00:00:00Z
2017244,0,0.0,3,-67.933,-60.85,0,1116.79,0.0007,a68a,1970-01-01T00:00:00Z
2017244,0,0.0,3,-67.25,-60.8,1,0.0,0.0,a68b,1970-01-01T00:00:00Z
2020115,0,0.0,6,-60.413,-51.07,0,1126.95,0.0,a68c,1970-01-01T00:00:00Z
2020353,0,0.0,6,-55.29,-36.882,2,2173.5,0.0,a68d,1970-01-01T00:00:00Z
2020358,0,0.0,6,-56.807,-35.53,1,4641.07,-0.355,a68e,1970-01-01T00:00:00Z
2020360,0,0.0,6,-56.875,-35.457,1,1286.1,0.0,a68f,1970-01-01T00:00:00Z
2021027,0,0.0,6,-56.508,-36.01,2,4408.81,0.0,a68g,1970-01-01T00:00:00Z
2021029,0,0.0,6,-56.213,-35.535,2,3179.22,0.0,a68h,1970-01-01T00:00:00Z
2021029,0,0.0,6,-56.28,-35.5,2,3227.74,0.0,a68i,1970-01-01T00:00:00Z
2021030,0,0.0,6,-57.072,-35.16,2,6301.78,0.1186,a68j,1970-01-01T00:00:00Z
2021029,0,0.0,6,-56.749,-35.51,2,2918.3,0.0,a68k,1970-01-01T00:00:00Z
2021029,0,0.0,6,-56.871,-35.19,2,3908.99,-0.2156,a68l,1970-01-01T00:00:00Z
2021031,0,0.0,6,-56.819,-35.215,1,2585.07,0.0,a68m,1970-01-01T00:00:00Z
2021043,0,0.0,6,-56.19,-35.55,1,4881.93,-0.0458,a68n,1970-01-01T00:00:00Z
2021043,0,0.0,6,-56.09,-35.76,1,1481.46,0.0,a68o,1970-01-01T00:00:00Z
2021043,0,0.0,6,-56.26,-33.67,1,1819.68,0.0,a68p,1970-01-01T00:00:00Z
2020178,0,0.0,3,-68.983,-60.633,0,1930.37,0.0,a69,1970-01-01T00:00:00Z
2020191,0,0.0,6,-69.015,-60.503,0,1924.42,0.0,a69a,1970-01-01T00:00:00Z
2020192,0,0.0,6,-68.925,-60.5,0,1876.6,0.0,a69b,1970-01-01T00:00:00Z
2021302,0,0.0,6,-66.76,-59.73,1,1351.05,0.0,a69c,1970-01-01T00:00:00Z
2021008,0,0.0,6,-72.376,-59.518,0,1880.37,0.0,a70,1970-01-01T00:00:00Z
2021008,0,0.0,3,-72.51,-59.51,0,0.0,0.0,a71,1970-01-01T00:00:00Z
2021022,0,0.0,6,-69.62,-60.83,1,1723.78,0.0039,a72,1970-01-01T00:00:00Z
2021022,0,0.0,6,-69.77,-60.572,1,1485.52,0.0005,a73,1970-01-01T00:00:00Z
2021064,0,0.0,2,-75.22,-25.78,0,1963.91,0.0529,a74,1970-01-01T00:00:00Z
2021059,0,0.0,6,-75.88,-36.295,1,5790.79,0.0,a74a,1970-01-01T00:00:00Z
2022161,0,0.0,6,-76.465,-46.085,0,0.0,0.0,a74b,1970-01-01T00:00:00Z
2021085,0,0.0,6,-74.13,-60.49,0,4800.98,0.0,a75,1970-01-01T00:00:00Z
2021134,0,0.0,6,-75.265,-58.935,0,0.0,0.0,a76,1970-01-01T00:00:00Z
2021147,0,0.0,6,-75.1,-59.43,0,1647.04,-0.0152,a76a,1970-01-01T00:00:00Z
2021147,0,0.0,6,-75.09,-57.49,1,1685.85,0.0,a76b,1970-01-01T00:00:00Z
2021147,0,0.0,6,-75.57,-57.04,0,1318.84,0.0,a76c,1970-01-01T00:00:00Z
2023125,0,0.0,6,-54.55,-41.69,0,0.0,0.0,a76d,1970-01-01T00:00:00Z
2023132,0,0.0,6,-53.632,-43.113,0,0.0,0.0,a76e,1970-01-01T00:00:00Z
2023132,0,0.0,6,-54.506,-41.409,0,0.0,0.0,a76f,1970-01-01T00:00:00Z
2023132,0,0.0,6,-54.904,-40.848,0,0.0,0.0,a76g,1970-01-01T00:00:00Z
2023132,0,0.0,6,-54.4,-41.68,0,0.0,0.0,a76h,1970-01-01T00:00:00Z
2023132,0,0.0,6,-54.16,-41.96,0,0.0,0.0,a76i,1970-01-01T00:00:00Z
2023146,0,0.0,6,-54.14,-39.77,0,0.0,0.0,a76j,1970-01-01T00:00:00Z
2023146,0,0.0,6,-54.61,-38.62,0,0.0,0.0,a76k,1970-01-01T00:00:00Z
2023146,0,0.0,6,-55.1,-38.77,0,0.0,0.0,a76l,1970-01-01T00:00:00Z
2023160,0,0.0,6,-55.5,-36.92,0,0.0,0.0,a76m,1970-01-01T00:00:00Z
2021232,0,0.0,3,-71.01,-12.05,1,664.71,0.0,a77,1970-01-01T00:00:00Z
2021239,0,0.0,6,-70.35,-4.03,0,14542.29,0.0,a78,1970-01-01T00:00:00Z
2022063,0,0.0,6,-71.14,-60.47,0,0.0,0.0,a79,1970-01-01T00:00:00Z
2022336,0,0.0,6,-71.77,-60.27,0,0.0,0.0,a80a,1970-01-01T00:00:00Z
2022336,0,0.0,6,-71.43,-60.33,0,0.0,0.0,a80b,1970-01-01T00:00:00Z
2022336,0,0.0,6,-71.53,-60.51,0,0.0,0.0,a80c,1970-01-01T00:00:00Z
2023055,0,0.0,6,-72.19,-59.34,0,0.0,0.0,a80d,1970-01-01T00:00:00Z
2023027,0,0.0,6,-75.66,-27.16,0,0.0,0.0,a81,1970-01-01T00:00:00Z
1989225,0,0.0,3,-70.9,170.2,0,0.0,0.0,b09b,1970-01-01T00:00:00Z
2010339,0,0.0,3,-67.09,144.88,0,0.0,0.0,b09c,1970-01-01T00:00:00Z
