TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
781.813402777771,-755730,1042600,27.338,861.22,6855800,-755760,1043100,25.558,856.93,5494500,-2.1091,1.7838,2.6249,0.56949,743.379985173153,68.009722548432,136.74,13.3494,36024,505,144360,7722.2
781.813402777771,-755210,1043900,28.399,863.5,33733000,-755180,1044200,27.345,861.24,31180000,-3.4674,0.98581,1.4376,0.67741,2206.49422726894,183.098416846562,147.45,7.971,191390,7553.6,453510,389.56
781.813402777771,-754550,1043800,22.599,848.06,10739000,-754550,1043900,22.452,847.55,9788000,-5.1079,-0.74123,1.1538,1.3125,634.227377292334,107.312680482171,107.69,1.0732,74643,7771,212630,9441
781.813402777771,-756850,1042800,17.562,824.62,11221000,-756950,1043800,17.313,823.02,10535000,-2.4071,2.5814,0.27218,0.65397,211.9274659816,104.627584273716,71.556,1.7147,119970,2185.6,217840,4839
781.813402777771,-757030,1043900,21.916,924.63,20021000,-757100,1044800,19.383,925.62,17942000,-2.836,0.86641,1.8813,1.1483,2198.75300608979,191.214747588153,181.52,21.242,89838,2096,314730,11283.4
781.813402777771,-757540,1044900,30.395,867.31,45183000,-757830,1045600,29.449,865.58,43850000,-0.9948,3.2472,2.0124,0.45343,3912.08718499305,405.77019379414,163.03,7.2278,236370,192.5,620560,5450.2
781.813402777771,-759780,1046900,20.493,839.92,15262000,-760580,1048300,20.169,838.49,13825000,-3.3526,1.0971,0.94062,0.5083,804.791881515128,127.198073197327,91.863,2.3104,121790,10073,262960,12974.2
781.813402777771,-759220,1047100,23.146,849.89,15644000,-760020,1048500,22.987,849.37,15232000,-1.2327,2.5434,1.5325,0.57705,1324.40359478368,155.601984677979,111.64,1.16624,116150,1665,271340,1386.62
781.813402777771,-757150,1045400,24.104,852.88,17685000,-757500,1046100,23.405,850.73,16466000,-0.82044,3.0625,1.546,0.37968,1468.04871083842,170.506948881923,116.7,5.1402,126050,916,292330,6286.8
781.813402777771,-757670,1043500,23.344,850.54,26874000,-757800,1044500,21.964,845.8,24214000,-1.6682,2.9927,1.2799,0.90515,1851.09080749446,233.8513001418,108.65,10.0716,195990,2262,402340,13199.8
781.813402777771,-756980,1045000,14.661,928.37,5363700,-757260,1045700,13.312,929.51,5206100,-2.527,2.1859,1.1263,1.3388,523.251455717251,73.3268793317216,125.75,11.258,34360,216.5,124030,3121
781.813402777771,-756000,1045700,24.72,854.66,42802000,-756100,1046000,23.374,850.63,38575000,-1.3282,2.9555,1.7818,0.54025,3928.5227073602,607.263291210675,118.86,9.9306,291260,1137,569800,14331.6
781.813402777771,-756970,1046800,33.34,872.02,17603000,-757600,1047000,31.376,868.99,16265000,-1.8732,2.7436,2.0441,1.8047,1374.23993906754,222.934330011212,181.75,15.158,79666,1243,279830,8395.2
