TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
350.968738425989,-2438215.40665317,1418543.41822666,15.00992,895.559152647054,1583840,-2437385.79077761,1418354.21982761,13.80175,893.414061676051,1447704,-3.289094,-5.079375,0.32216661899276,1.66778647703032,97.5055951570641,74.395384417823,109.6106,10.10769,13616,44,63540.09,3740.34
350.968738425989,-2439800.47365512,1417082.74032793,12.02483,889.148754755629,2478419,-2437825.21179071,1416787.46977708,11.86927,888.852428785419,2438534,-3.746244,-5.80588,0.0669693231574308,1.22317406974253,41.5676911764589,57.2383276150157,89.01743,1.255852,29090,542,90716.48,1821.801
350.968738425989,-2440135.45141243,1416138.46525424,15.0599,895.559152647054,2923741,-2438203.96073446,1415855.39004237,15.08558,895.735363851373,2692051,-3.5801,-5.479197,0.361338187714968,1.21435395644702,192.875097000327,49.6147470471542,115.1844,-0.2764282,23802,602,91673.61,1223.254
350.968738425989,-2443787.79198054,1414347.29382454,21.51939,902.930794414662,3022105,-2441939.89336001,1414253.55598077,21.28702,902.775352327408,2869857,-4.174107,-5.959809,0.354284355436434,1.90499704835756,138.706820229205,110.598429097568,168.4902,1.941833,16494,38,117639.1,3064.414
350.968738425989,-2443717.23365617,1415337.9153299,12.31584,890.003874125121,2644115,-2441814.28750515,1415240.98800047,12.27579,890.003874055064,2577765,-3.662894,-5.771949,1.44856957436088,0.579743784934591,915.643636014223,1458.12337743739,91.95536,0.2995377,29406,302,94157.28,860.7148
350.968738425989,-2445633.30969591,1414529.62730558,24.3662,904.739599964544,6313016,-2443767.29437074,1414532.2195454,23.64821,904.316838390536,5862794,-4.342925,-6.164536,0.253283793297151,0.788787720633609,191.756019928652,142.945677555607,190.3711,6.04631,31464,60,186028.5,3121.477
350.968738425989,-2446960.22870763,1414876.82870763,12.20042,889.724337919383,2050393,-2445038.88264361,1414928.35202034,11.88079,888.852428785419,1964912,-3.662894,-5.771949,1.53862188082288,1.03377897311096,703.744681535366,989.766579625554,89.81139,2.672256,21390,298,75386.2,1070.078
350.968738425989,-2445186.79449152,1416189.94173729,20.4975,901.943655044893,9712197,-2443232.9664411,1416175.71851259,20.02851,901.583124250865,9454997,-4.487095,-5.984606,0.175584922983333,1.09374013640164,237.971750546411,192.65647373168,158.7752,3.917603,57606,86,209240.6,1766.375
350.968738425989,-2444567.22537076,1416483.78985699,17.92701,899.48699769593,6724842,-2442601.08298847,1416438.52876945,17.79002,899.367180989327,6612932,-4.271871,-5.911443,0.492195451991126,4.04860100506666,519.173469025775,105.691429122741,138.5719,1.131531,45672,184,186063.4,899.0469
350.968738425989,-2444020.5337057,1416860.14743837,9.586373,881.027597928475,1423670,-2442036.98360023,1416788.52645469,9.719387,881.480986387756,1411755,-3.662894,-5.771949,1.43714788947892,0.467509915327009,588.339348431286,1205.22511079849,69.98932,-1.071587,20270,294,59466.45,229.7715
350.968738425989,-2444211.36411599,1417053.75172399,10.17797,883.205141706788,1803944,-2442201.72599948,1417007.19649909,10.26585,883.61459195767,1701768,-4.321154,-6.485532,0.214442977425162,0.685453029382531,102.743783794254,63.7147061853066,74.66264,-0.7475433,23370,602,75397.08,13.07812
350.968738425989,-2444397.72916667,1417163.57638889,19.16819,900.807754364225,8153936,-2442379.96763436,1417129.31622808,18.86231,900.496542993051,7961820,-3.662894,-5.771949,1.57902595402322,1.46036529252646,1802.67130849197,1349.0938105492,148.3014,2.578781,48952,164,175940.4,1228.734
350.968738425989,-2444559.61189397,1417594.87152641,14.58834,894.824716957101,4647181,-2442373.30863234,1417656.17667825,14.30443,894.240794914555,4657940,-3.560255,-5.771949,0.378993936665564,0.908197553396185,372.551526218748,138.411029482642,109.9173,2.4105,44208,300,143565,833.125
350.968738425989,-2444569.85169492,1417592.7404661,14.64694,835.968691883305,3177872,-2442382.73457569,1417655.36075783,14.22625,832.963608457913,3155660,-3.780897,-5.824435,0.293097790822717,0.988267256379603,196.186163038605,93.8114986332783,62.91033,3.046394,43858,2,99959.02,1544.77
350.968738425989,-2444568.5657839,1417586.90158898,14.63677,894.824716957101,4622074,-2442381.06785148,1417648.87385651,14.28415,894.240794914555,4663300,-3.662894,-5.597865,0.112333882502661,0.959057118602944,108.845837918228,119.760982141544,110.0247,2.933548,43578,558,142080.7,1447.062
350.968738425989,-2443717.88787803,1415335.50513044,12.35911,890.003874125121,2632795,-2441814.33082147,1415240.31360015,12.15186,889.724337848681,2567482,-4.401921,-6.378801,0.229707392589458,0.538035709046168,144.988089665079,45.8550888149285,91.6067,1.643921,29394,350,93257.33,805.1602
