TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
124.887905092561,-2403300,1280000,19.936,889.07,11472000000,-2403200,1280300,20.221,889.6,11915000000,1.1789,-0.46549,0.39532,0.39817,1169.07128793555,382.861924536556,149.79,-2.4132,49196,1203,187730,1491.46
124.887905092561,-2404800,1277700,15.507,879.4,8334800000,-2404600,1278000,15.289,878.78,8346600000,1.4133,0.03,0.23873,0.33703,1336.45731483796,387.828280769531,110.84,1.79806,100110,353.5,235820,2630.6
124.887905092561,-2405800,1276900,24.501,895.04,14741000000,-2405600,1277200,24.1,894.58,14738000000,0.42128,-0.87551,0.29169,0.41803,2372.49052040922,537.764517959424,185.09,3.389,129890,247.5,402860,1760.96
124.887905092561,-2406300,1277100,14.559,876.81,7689400000,-2406200,1277500,14.716,877.15,7946100000,1.2622,0.084747,0.089947,0.7786,220.329836094002,121.608500704452,104.64,-1.23786,44434,1760,127520,119.7
124.887905092561,-2401400,1276300,21.117,890.92,12318000000,-2401200,1276600,20.95,890.6,12436000000,3.1853,1.6165,0.62421,0.5245,2387.40260765222,627.750165905583,157.74,1.44484,62962,1957.5,220720,2474.4
124.887905092561,-2402300,1275300,25.255,895.8,15284000000,-2402100,1275600,23.919,894.47,14615000000,3.1853,1.6165,0.32081,1.6554,3129.76925452806,1345.63571479939,187.53,11.1724,155410,723.5,458730,13442.8
124.887905092561,-2403200,1275900,15.9,880.6,8616600000,-2403000,1276200,14.667,877.15,7919700000,3.1853,1.6165,0.17028,1.2169,341.609842378661,167.593535838093,109.97,10.12,35928,766.5,113350,6345.2
124.887905092561,-2404200,1275800,19.988,889.07,11502000000,-2404000,1276100,20.021,889.25,11767000000,3.1853,1.6165,0.11127,0.51126,905.987629820001,330.165738581676,149.14,-0.34446,135630,694,386860,2830.8
124.887905092561,-2404100,1276300,24.988,895.59,15098000000,-2403900,1276600,25.583,896.11,15829000000,-0.092252,-1.4094,0.13374,0.42925,1334.53002340663,617.476415961464,193.39,-4.9488,158100,12188,469190,16721.2
124.887905092561,-2403100,1274300,15.404,879.09,8262700000,-2402900,1274700,14.98,878.14,8143300000,-0.51074,-1.8406,0.50739,0.43654,3021.67140886034,813.041795294576,109.19,3.3878,106840,2566.4,256580,256.54
124.887905092561,-2402300,1278300,14.137,875.39,7396400000,-2402100,1278600,14.236,875.75,7615500000,1.6129,0.15958,0.15448,0.22073,221.3298358346,96.0716187506915,100.96,-0.82028,26235,172,97987,2483.8
124.887905092561,-2402900,1277900,18.059,885.68,10140000000,-2402700,1278200,17.93,885.23,10237000000,1.2286,-0.095949,0.2438,0.40498,681.612444656915,197.215172941816,132.38,1.15326,47830,1072,173320,1992.38
