TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
732.88753472222,1442100,-2040000,34.102,851.04,34446000,1442200,-2041900,33.81,850.4,33366000,-10.412,-14.71,2.0526,1.037,2609.33910395181,288.600196463428,165.97,2.139,159190,4649.6,454390,19541.6
732.88753472222,1442400,-2040200,24.835,821.71,10977000,1442500,-2042200,22.566,809.87,9551300,-9.6694,-15.017,2.4754,1.7538,1287.35872306539,232.679213510239,93.312,15.3704,78094,2598.4,197960,8662.8
732.88753472222,1443300,-2040300,41.504,863.92,67106000,1443400,-2042100,35.96,854.83,58049000,-7.6902,-13.82,4.4096,1.6999,9510.02897950793,1203.61271969512,201.57,41.624,256720,1557.5,683980,38294
732.88753472222,1442800,-2040900,41.755,864.26,50967000,1442900,-2042800,37.645,857.91,45729000,-8.8955,-14.25,3.7381,1.8686,6284.66046409049,707.906861887797,208.8,30.98,198080,7619,597550,17782.8
732.88753472222,1443600,-2040800,27.25,831.68,19873000,1443800,-2042600,24.648,820.84,17100000,-9.8808,-15.343,2.9142,1.4275,2729.47362212316,451.058278620101,108.74,18.0382,133640,298.5,306340,17970.2
732.88753472222,1443000,-2041400,37.084,856.92,81147000,1443100,-2043300,33.562,849.84,71481000,-10.348,-15.686,3.1474,1.4362,9158.19921524766,1125.95650765346,176.1,26.042,358830,4016,825800,38210
732.88753472222,1444600,-2041900,41.245,863.55,243380000,1444700,-2043600,40.366,862.28,251220000,-8.0239,-12.707,2.4433,1.906,20266.9829613691,1870.26730873148,217.09,6.6544,966530,33112,1944400,24614
732.88753472222,1444400,-2042600,38.991,860.16,256010000,1444600,-2044500,38.761,859.79,275700000,-8.5369,-12.833,1.4758,1.059,14135.6561165779,1345.99937215542,202.53,1.7275,1136300,49814,2069000,67244
732.88753472222,1443700,-2043600,37.311,857.33,217530000,1443900,-2045500,37.018,856.8,225740000,-8.708,-13.1,1.5695,1.0229,12766.9083282472,1330.30599887616,189.72,2.1874,981860,17123,1749800,16639.4
732.88753472222,1446600,-2043300,35.94,854.8,63532000,1446800,-2044700,36.741,856.3,61265000,-6.1208,-10.397,2.6869,3.2584,6299.96335371903,696.737520178555,183.59,-5.9498,285520,9005,752940,28552
732.88753472222,1447200,-2043200,37.897,858.35,90300000,1447200,-2044300,37.632,857.89,92062000,-3.7947,-7.8618,1.6876,1.358,5640.03927791267,539.665133141796,194.2,1.97852,400880,4281,942860,11887.6
732.88753472222,1444300,-2045100,35.614,854.16,74888000,1444500,-2047100,35.584,854.1,74274000,-9.7002,-12.198,0.33043,2.349,942.367933118767,-261.570134283,178.08,0.22558,350520,274.5,789280,4008.4
