TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
723.106562500005,2149700,577020,30.5,882.08,54325000,2150900,578330,29.769,881.18,56550000,0.51745,-3.3007,0.62257,0.58043,1585.10156455762,191.333141006101,185.86,5.7906,259130,9798,631170,11973.6
723.106562500005,2149400,578180,29.09,880.3,52406000,2150500,579440,28.505,879.5,54197000,0.88006,-3.2821,1.1763,0.49649,2961.38792123846,357.252026689834,175.29,4.6156,259260,11718,632080,11025.4
723.106562500005,2148500,578830,20.073,862.35,12927000,2149600,579950,18.819,858.33,11585000,0.7885,-3.5486,1.4198,0.50988,1251.04534326189,234.079588340187,103.03,9.4316,102880,3404.4,233810,3521.2
723.106562500005,2146500,579520,22.582,868.92,36441000,2147500,580030,22,867.54,37389000,0.95786,-2.7706,0.80845,0.52475,1930.35616042471,300.587274643826,124.63,4.4592,265520,9093.6,519490,9173
723.106562500005,2145700,580730,25.747,875.23,63337000,2146700,580900,25.137,874.14,62784000,0.55645,-2.9965,1.1682,1.0419,3846.90591903261,576.667340667938,148.98,4.757,351210,8732.4,736040,2357
723.106562500005,2147200,580260,26.839,921.5,182890000,2148100,581020,26.31,921.59,187360000,0.9524,-3.1033,0.97445,0.87457,9686.34924316924,501.708067348143,229.01,4.444,731820,21460,1497000,16565.2
723.106562500005,2146600,582580,21.191,865.49,35838000,2147700,582840,21.581,866.5,34823000,0.9444,-2.6666,0.86381,0.39764,1858.58512679632,287.727318321302,117.71,-2.9696,242650,1438,485140,403.7
723.106562500005,2149400,583720,22.891,869.62,27683000,2150500,585170,21.352,865.91,27267000,0.65946,-2.8087,1.6086,0.47356,2694.18677497712,464.964819819516,123.34,11.7814,186790,5697,436660,2768.2
723.106562500005,2147100,585680,21.456,866.18,14660000,2148100,585840,21,864.98,13981000,0.79792,-2.6643,1.1974,0.65067,1190.13272614386,204.101344252405,116.51,3.4782,112380,1235.5,270020,2247.6
723.106562500005,2149200,575230,30.554,882.15,135180000,2150500,576600,30.769,882.4,135650000,0.86785,-3.0892,0.31742,0.82214,1923.21999181931,400.736107048539,190.03,-1.70422,614080,9482,1203400,9745.2
723.106562500005,2150300,578780,24.435,872.83,11290000,2151200,580130,23.85,871.66,10971000,0.29055,-3.6068,1.5047,0.65546,908.877092235823,128.137274285567,138.89,4.526,65458,1393,208390,218.96
723.106562500005,2150500,579910,22.314,868.29,11318000,2151400,581300,21.864,867.21,11189000,0.35599,-3.3957,0.76002,0.69063,532.071977205616,143.155600498308,123.08,3.442,78087,2510,219610,426.62
