TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
457.64481481479,-1450100,782650,23.421,845.44,76218000,-1450600,783600,22.945,843.75,74189000,-1.7046,-6.2384,0.3909,0.34744,2769.38293856928,399.703057057443,109.26,3.4426,573300,3897,914720,1193.72
457.64481481479,-1454200,780520,17.885,818.83,5206900,-1454700,781260,17.981,819.47,4555100,-7.1211,-12.05,0.55228,0.24737,319.46580119133,62.6239130178046,72.262,-0.65708,53372,3688.4,124280,5565.4
457.64481481479,-1451500,784320,22.609,842.5,174140000,-1451900,785350,22.234,841.06,168000000,-2.1764,-7.3145,1.0843,0.59938,19113.4384327149,2712.62130920834,103.76,2.6896,1448500,1114,2037900,12988
457.64481481479,-1451800,786350,20.575,833.92,87798000,-1452300,787420,19.901,830.6,82883000,-3.0687,-7.5255,2.4032,0.61776,22792.8283914495,11061.6696644664,88.239,4.7384,819620,48,1138000,11358.2
457.64481481479,-1450500,787130,24.551,849.16,307550000,-1451100,788200,23.638,846.19,290030000,-3.2586,-7.4519,0.47696,1.1424,13460.8819009872,2132.34264946004,115.88,6.6516,2245000,22542,3026800,44908
457.64481481479,-1449400,787060,21.707,838.93,77551000,-1449900,788140,20.372,832.95,74488000,-2.6653,-7.2932,0.90869,0.55,7377.73601199935,1239.45077951584,93.911,9.4598,688320,5209,993000,7183.2
457.64481481479,-1448800,786230,23.459,845.57,191280000,-1449300,787320,22.607,842.49,180740000,-2.1749,-6.9674,0.98579,0.48091,17650.0282884385,2675.25458844692,108.17,6.1568,1453300,2893.6,1972300,18652.8
457.64481481479,-1450100,785450,24.96,850.41,307040000,-1450600,786530,24.229,848.14,295860000,-3.1995,-7.7696,0.58114,0.42143,16750.2304959268,2375.20400130689,119.53,5.3506,2272200,21364,2963800,33530
457.64481481479,-1447700,786580,23.118,844.37,35910000,-1448200,787640,21.882,839.65,33339000,-1.8498,-7.3164,1.7856,0.99237,5965.37411048601,936.551268104516,104.34,8.8912,274180,6240,498100,19144
457.64481481479,-1452800,778760,18.213,820.97,6010600,-1452900,779020,18.281,821.4,6223400,-3.0687,-7.5255,1.8809,0.42727,1333.37657502907,6572.64820306605,74.409,-0.47038,64764,1687,138730,2685.2
457.64481481479,-1452100,789810,21.842,839.49,54536000,-1452800,790860,20.676,834.39,47381000,-6.4236,-10.404,0.65396,0.47634,3460.37319036129,574.000683257889,95.463,8.285,446240,6045,698190,20158
457.64481481479,-1450900,788480,22.13,840.65,64872000,-1451500,789570,21.217,836.84,58434000,-2.9379,-7.5992,1.1982,0.43218,7527.19478157336,1178.81142558097,98.412,6.5188,524720,9676.4,807370,19070.2
