TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
605.959780092584,-2111900,898190,12.317,855.47,7330500000,-2112100,897720,10.879,857.25,5716200000,-1.5825,-5.5742,2.0278,1.3705,3375.11708082505,1207.59416716573,78.053,9.3092,166760,536.5,296290,10595
605.959780092584,-2111600,896920,17.064,784.43,7168200000,-2114700,896480,12.696,790.3,4775100000,-2.4814,-5.9323,3.8406,2.6521,2740.47748858817,92.5509125633536,48.988,12.84,100570,1552,169190,9482.2
605.959780092584,-2108200,895930,17.542,786.84,7443100000,-2112600,895680,16.066,783.6,5875100000,-1.8712,-5.4006,1.935,1.9234,3513.05650230482,78.2868431397621,54.826,5.7772,258200,4415,389580,11994.2
605.959780092584,-2107200,896130,21.656,794,9471400000,-2111600,895610,19.368,789.13,7247500000,-2.5219,-5.9367,4.0539,2.7435,10089.5530328672,190.055519058176,69.319,9.5926,344630,2132,519830,11907.2
605.959780092584,-2107000,895540,26.554,808.75,12402000000,-2111600,894920,22.385,795.38,8603500000,-2.4814,-5.9323,4.4181,3.1289,12701.3452118284,318.5397304676,88.029,21.648,380270,5450,635050,40632
605.959780092584,-2105700,895850,17.831,788.45,7617200000,-2110300,894930,14.92,789.64,5596200000,-3.2192,-5.9455,2.2794,1.7425,1923.78080752962,35.1732131294925,54.514,9.3344,118120,2111.6,192780,8373.6
605.959780092584,-2105000,896120,9.7524,859.81,5955300000,-2109600,894980,9.7091,859.81,5179500000,-2.9675,-6.6577,0.33733,1.4625,399.621508877624,141.007484044117,66.103,0.2938,116280,2220.4,210470,5436.4
605.959780092584,-2104600,895650,28.899,817.24,14047000000,-2111500,894310,22.599,796.19,8717800000,-2.197,-5.6918,6.295,3.6127,27634.7772477068,1362.34496741799,95.712,34.834,568610,5438,900430,65802
605.959780092584,-2104400,896300,8.9426,861.62,5521400000,-2109800,895940,9.3275,860.7,5002800000,-1.3972,-5.8674,0.59504,2.0026,412.033928773292,142.160766949119,62.287,-2.466,67414,3421.6,129040,1984.62
605.959780092584,-2103300,896240,14.845,855.65,8843500000,-2109200,895640,12.568,855.24,6524600000,-2.4208,-6.4572,3.1295,1.9768,4401.98777166805,1589.96273518074,92.031,15.3904,141690,456,277810,10165.4
605.959780092584,-2102800,896210,16.689,786.63,7075100000,-2108700,895590,14.696,787.16,5454300000,-1.9948,-6.04,2.7836,1.5182,3214.43080525646,40.4853552317395,51.64,6.4106,163080,1479.5,256580,4361.6
605.959780092584,-2102500,894420,15.088,784.21,6332000000,-2109400,892970,13.686,788.98,5118800000,-2.4814,-5.9323,0.61205,2.6164,472.196615853376,10.5464631348412,47.248,3.3768,109100,1386.5,171400,1293.14
605.959780092584,-2102400,895360,23.788,800.75,10717000000,-2108800,894250,16.449,785.11,6053500000,-2.4409,-5.7321,7.3767,1.492,2355.48173944355,115.426146796468,69.088,30.956,43956,2989.6,95268,15393.8
605.959780092584,-2101900,894690,33.039,828.72,16994000000,-2108500,893370,21.299,792.35,8080900000,-4,-7.4486,11.887,2.1801,13246.6386680322,1293.15791113599,105.51,66.562,141820,12867.6,312870,69260
605.959780092584,-2101700,896120,30.141,819.91,14842000000,-2107800,895540,23.214,797.65,9012200000,-2.6028,-5.9279,7.1163,3.1852,18550.4039252535,989.124717919313,100.5,38.824,334460,5570.4,609580,64420
605.959780092584,-2101600,895820,28.666,816.05,13857000000,-2107700,895210,20.91,792.73,7946800000,-2.9554,-5.8948,8.6636,2.9605,5369.19676740419,897.591342462972,60.269,44.55,81120,4675.6,194650,32088
