TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
181.1068518518,-2341500,1053200,12.466,863.01,5605300000,-2341900,1053400,7.1878,878.08,3020700000,-6.6518,-6.2326,4.1868,2.7402,2164.46051271452,709.374140435529,68.504,33.868,14186,249.5,42907,7077
181.1068518518,-2341300,1053100,5.9139,882.87,3028200000,-2341700,1053300,4.3312,889.77,1976400000,-6.3696,-6.1689,2.3546,1.8261,704.108517038487,160.866188242991,37.739,10.752,7373,325,19452,2538.4
181.1068518518,-2340200,1053000,10.52,867.21,4855600000,-2340600,1053100,7.4239,876.8,3093000000,-6.8919,-6.5885,4.8438,2.4908,2818.30862262372,834.276717413347,63.011,19.9392,15816,335.5,45351,5788.2
181.1068518518,-2339900,1053100,13.271,862.14,5935700000,-2340300,1053200,9.8792,869.27,3918300000,-6.9547,-6.6047,3.5195,1.5287,5799.76284451714,1869.28946064885,79.843,21.78,46627,678,117450,12116.4
181.1068518518,-2338900,1052100,12.142,863.62,5480400000,-2339500,1052200,8.2744,874.34,3391400000,-6.9435,-6.7445,4.9773,3.0246,3336.9022969252,1032.81067624545,71.011,24.71,18582,1622.5,58403,11762.6
181.1068518518,-2338100,1052800,5.9081,882.87,3025200000,-2339000,1052800,4.6177,888.96,2094600000,-7.1699,-6.6655,0.94031,0.49384,795.980712415561,184.340599862252,38.737,8.672,20932,791.5,41102,3325.8
181.1068518518,-2338300,1051800,9.8745,869.27,4617400000,-2338900,1051800,8.3082,874.34,3405300000,-6.9898,-6.4629,2.4174,1.9665,2220.48440655151,655.008282135711,63.907,10.023,25001,1006,61354,6247.8
181.1068518518,-2335500,1052500,14.26,861.52,6353500000,-2337100,1052300,9.6423,869.8,3837400000,-7.7324,-7.3543,4.3233,2.7608,8681.16986596653,2786.13681708535,82.366,29.92,56832,1139.5,138640,17508.2
181.1068518518,-2335700,1053300,17.345,863.25,7810400000,-2337200,1053200,13.24,862.14,5022600000,-8.1866,-7.5315,4.0846,0.91013,10532.4777867695,3519.20309929374,104.74,28.436,74331,3199,194660,26092
181.1068518518,-2336400,1054300,9.1575,871.44,4342400000,-2337600,1054200,6.5477,880.08,2789200000,-7.8703,-7.156,2.0014,1.5298,1613.04461301298,475.309160646251,55.812,17.0496,21374,3335.6,58383,11018
181.1068518518,-2335700,1054500,10.973,866.22,5033100000,-2337100,1054400,7.4251,876.8,3093500000,-8.4873,-7.6285,2.707,2.711,2156.65064797505,640.961913515354,64.475,22.85,21726,1180,60658,8386.2
181.1068518518,-2334100,1053000,15.237,861.54,6790200000,-2336000,1052600,12.447,863.01,4746800000,-9.2251,-8.6685,3.4683,2.642,12839.726392907,4318.72711199814,94.656,18.6968,106990,6885.6,280270,28654
181.1068518518,-2334400,1052300,21.259,869,9924100000,-2336100,1051900,13.423,861.99,5087500000,-8.5844,-8.7452,7.2263,1.9524,18863.7998738579,6118.63897403358,120,56.52,73959,6212,202850,42624
181.1068518518,-2335000,1052400,17.538,863.41,7905500000,-2336700,1052000,14.194,861.52,5364000000,-6.1311,-6.256,3.858,2.1746,4635.70511333966,1588.1179160378,108.61,23.464,34686,4719,111970,18607.8
181.1068518518,-2334600,1051900,11.643,864.35,5278700000,-2336200,1051400,7.3855,877.43,3090200000,-8.1074,-7.6955,3.6482,2.2989,1968.0291504394,589.854900052042,66.489,27.226,14770,727,44142,6671.8
181.1068518518,-2337800,1051000,13.047,862.32,5841900000,-2338500,1050900,10.558,867.21,4133200000,-7.045,-6.8094,3.5292,2.6442,2440.60714081299,823.766731353031,81.246,16.004,19682,2431.6,65634,10532.2
