source_index,timestamp,latitude,longitude,sensor_source,length_m,width_m,era5_covered,glorys_covered,environment_matched,openberg_geometry_compatible,geometry_compatibility_reason
0,2014-06-14,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
1,2014-06-15,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
2,2014-06-16,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
3,2014-06-17,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
4,2014-06-18,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
5,2014-06-19,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
6,2014-06-20,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
7,2014-06-21,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
8,2014-06-22,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
9,2014-06-23,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
10,2014-06-24,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
11,2014-06-25,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
12,2014-06-26,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
13,2014-06-27,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
14,2014-06-28,-66.1152,85.4462,ASCAT,20372.0,7408.0,False,False,False,False,length_exceeds_openberg_maximum
