source_index,timestamp,latitude,longitude,sensor_source,length_m,width_m,era5_covered,glorys_covered,environment_matched,openberg_geometry_compatible,geometry_compatibility_reason
0,2019-09-23,-68.6103,72.3159,ASCAT,53708.0,35188.0,False,False,False,False,length_exceeds_openberg_maximum
1,2019-09-24,-68.5909,72.3335,ASCAT,53708.0,35188.0,False,False,False,False,length_exceeds_openberg_maximum
2,2019-09-25,-68.5584,72.1911,ASCAT,53708.0,35188.0,False,False,False,False,length_exceeds_openberg_maximum
3,2019-09-26,-68.55,72.1255,ASCAT,53708.0,35188.0,False,False,False,False,length_exceeds_openberg_maximum
4,2019-09-27,-68.55,72.1255,ASCAT,53708.0,35188.0,False,False,False,False,length_exceeds_openberg_maximum
5,2019-09-28,-68.55,72.1255,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
6,2019-09-29,-68.4808,72.1607,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
7,2019-09-30,-68.4808,72.1607,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
8,2019-10-01,-68.416,72.1041,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
9,2019-10-02,-68.4119,71.9944,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
10,2019-10-03,-68.4119,71.9944,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
11,2019-10-04,-68.395,71.854,ASCAT,53708.0,35188.0,False,False,False,False,length_exceeds_openberg_maximum
12,2019-10-05,-68.3643,71.8101,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
13,2019-10-06,-68.3427,71.6323,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
14,2019-10-07,-68.3427,71.6323,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
15,2019-10-08,-68.3394,71.606,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
16,2019-10-09,-68.3383,71.4937,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
17,2019-10-10,-68.3257,71.392,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
18,2019-10-11,-68.3257,71.392,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
19,2019-10-12,-68.2969,71.2631,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
20,2019-10-13,-68.2841,71.1616,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
21,2019-10-14,-68.2712,71.0603,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
22,2019-10-15,-68.2712,71.0603,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
23,2019-10-16,-68.2679,71.0341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
24,2019-10-17,-68.2679,71.0341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
25,2019-10-18,-68.2679,71.0341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
26,2019-10-19,-68.2679,71.0341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
27,2019-10-20,-68.2679,71.0341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
28,2019-10-21,-68.2679,71.0341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
29,2019-10-22,-68.2679,71.0341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
30,2019-10-23,-68.2679,71.0341,ASCAT,0.0,0.0,False,False,False,False,length_below_openberg_minimum
